Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-108029/2021,EPI_ISL_2431435,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108114/2021,EPI_ISL_3075437,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108144/2021,EPI_ISL_2431503,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108162/2021,EPI_ISL_2680446,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108301/2021,EPI_ISL_2431590,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108326/2021,EPI_ISL_2680494,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-108387/2021,EPI_ISL_2680508,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108471/2021,EPI_ISL_2680527,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-108570/2021,EPI_ISL_2680544,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108700/2021,EPI_ISL_2680574,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-108839/2021,EPI_ISL_2680605,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-108964/2021,EPI_ISL_2680640,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-109044/2021,EPI_ISL_3075474,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109079/2021,EPI_ISL_2680669,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109091/2021,EPI_ISL_2680674,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-109153/2021,EPI_ISL_3075478,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109215/2021,EPI_ISL_2680699,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109539/2021,EPI_ISL_3075494,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109545/2021,EPI_ISL_3075496,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109839/2021,EPI_ISL_2680841,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109907/2021,EPI_ISL_2432502,EPI_SET_230103mu,Alpha,2021-05-17
hCoV-19/Denmark/DCGC-109912/2021,EPI_ISL_3075511,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-109926/2021,EPI_ISL_2680862,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-110073/2021,EPI_ISL_2675393,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110080/2021,EPI_ISL_3074112,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110081/2021,EPI_ISL_2675396,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110084/2021,EPI_ISL_2675398,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110087/2021,EPI_ISL_2675401,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110091/2021,EPI_ISL_2675404,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110107/2021,EPI_ISL_2675416,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110111/2021,EPI_ISL_2675420,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110116/2021,EPI_ISL_2675422,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110118/2021,EPI_ISL_3074116,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110140/2021,EPI_ISL_2675439,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110142/2021,EPI_ISL_2675441,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110145/2021,EPI_ISL_2675444,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110160/2021,EPI_ISL_3074121,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110163/2021,EPI_ISL_2675454,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110165/2021,EPI_ISL_2675456,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110168/2021,EPI_ISL_2675459,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110175/2021,EPI_ISL_2675463,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110185/2021,EPI_ISL_3074124,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110189/2021,EPI_ISL_2675470,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110192/2021,EPI_ISL_2675473,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110201/2021,EPI_ISL_2675480,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110210/2021,EPI_ISL_2675488,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110213/2021,EPI_ISL_2675491,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110214/2021,EPI_ISL_2675492,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110215/2021,EPI_ISL_3074126,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110220/2021,EPI_ISL_3074128,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110230/2021,EPI_ISL_2675500,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110236/2021,EPI_ISL_3074132,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110245/2021,EPI_ISL_2675510,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110258/2021,EPI_ISL_3074138,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110259/2021,EPI_ISL_3074139,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110268/2021,EPI_ISL_3074141,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110273/2021,EPI_ISL_2675525,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110276/2021,EPI_ISL_3074143,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110279/2021,EPI_ISL_3074144,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-110293/2021,EPI_ISL_3074145,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110294/2021,EPI_ISL_2675542,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110297/2021,EPI_ISL_2675544,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110299/2021,EPI_ISL_3074146,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110301/2021,EPI_ISL_3074147,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110302/2021,EPI_ISL_2675547,EPI_SET_230103mu,Alpha,2021-05-31
